1
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


289
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


290
hxan_e 	['iMM904 hxan_e'] 	['hxan_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
hxan_e 	['hxan_e'] 	['iMM904 hxan_e']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']


291
hxan_e 	['iMM904 hxan_e'] 	['hxan_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
hxan_e 	['hxan_e'] 	['iMM904 hxan_e']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']


292
hxan_e 	['iMM904 hxan_e'] 	['hxan_e']
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
hxan_e 	['hxan_e'] 	['iMM904 hxan_e']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']


293
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


294
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


295
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


296
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
ADA 	['iMM904 h2o_c', 'iMM904 h_c', 'iMM904 adn_c'] 	['iMM904 nh4_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


297
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
IMPC 	['iMM904 fprica_c'] 	['iMM904 h2o_c', 'iMM904 imp_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD11 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
INSK 	['iMM904 ins_c', 'iMM904 atp_c'] 	['iMM904 h_c', 'iMM904 imp_c', 'iMM904 adp_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
AMPDA 	['iMM904 amp_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 imp_c', 'iMM904 nh4_c']
IMPC 	['iMM904 h2o_c', 'iMM904 imp_c'] 	['iMM904 fprica_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']


298
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


299
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ADEtm 	['iMM904 ade_c'] 	['iMM904 ade_m']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
ADEtm 	['iMM904 ade_m'] 	['iMM904 ade_c']
PUNP5 	['iMM904 pi_c', 'iMM904 ins_c'] 	['iMM904 hxan_c', 'iMM904 r1p_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
PUNP5 	['iMM904 hxan_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 ins_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
PYK 	['iMM904 pep_c', 'iMM904 h_c', 'iMM904 adp_c'] 	['iMM904 pyr_c', 'iMM904 atp_c']


300
GAPD 	['iMM904 g3p_c', 'iMM904 pi_c', 'iMM904 nad_c'] 	['iMM904 nadh_c', 'iMM904 h_c', 'iMM904 13dpg_c']
PGK 	['iMM904 13dpg_c', 'iMM904 adp_c'] 	['iMM904 3pg_c', 'iMM904 atp_c']
ADNUC 	['iMM904 h2o_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 rib_DASH_D_c']
ADEtm 	['iMM904 ade_c'] 	['iMM904 ade_m']
ADD 	['iMM904 ade_c', 'iMM904 h2o_c', 'iMM904 h_c'] 	['iMM904 nh4_c', 'iMM904 hxan_c']
HXANt2r 	['iMM904 h_c', 'iMM904 hxan_c'] 	['iMM904 hxan_e', 'iMM904 h_e']
ADEtm 	['iMM904 ade_m'] 	['iMM904 ade_c']
PUNP1 	['iMM904 ade_c', 'iMM904 r1p_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt 	['iMM904 pyr_c'] 	['iMM904 pyr_e']
NTD7 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 pi_c', 'iMM904 adn_c']
PYRt2 	['iMM904 h_e', 'iMM904 pyr_e'] 	['iMM904 pyr_c', 'iMM904 h_c']
TKT1 	['iMM904 xu5p_DASH_D_c', 'iMM904 r5p_c'] 	['iMM904 g3p_c', 'iMM904 s7p_c']
HXANt2r 	['iMM904 hxan_e', 'iMM904 h_e'] 	['iMM904 h_c', 'iMM904 hxan_c']
ENO 	['iMM904 2pg_c'] 	['iMM904 pep_c', 'iMM904 h2o_c']
AMPN 	['iMM904 h2o_c', 'iMM904 amp_c'] 	['iMM904 ade_c', 'iMM904 r5p_c']
PGM 	['iMM904 3pg_c'] 	['iMM904 2pg_c']
RPE 	['iMM904 ru5p_DASH_D_c'] 	['iMM904 xu5p_DASH_D_c']
RPI 	['iMM904 r5p_c'] 	['iMM904 ru5p_DASH_D_c']
PUNP1 	['iMM904 pi_c', 'iMM904 adn_c'] 	['iMM904 ade_c', 'iMM904 r1p_c']
